,epoch,acc,precision,recall,pred_acc_member,pred_acc_non_member,true_member,false_member,true_non_member,false_non_member
168,169,0.74,0.6607142857142857,0.9866666666666667,tensor(0.9867),tensor(0.5067),148,76,74,2
169,170,0.7366666666666667,0.6591928251121076,0.98,tensor(0.9800),tensor(0.5067),147,76,74,3
170,171,0.7233333333333334,0.6475770925110133,0.98,tensor(0.9800),tensor(0.5333),147,80,70,3
171,172,0.73,0.6533333333333333,0.98,tensor(0.9800),tensor(0.5200),147,78,72,3
172,173,0.7366666666666667,0.6591928251121076,0.98,tensor(0.9800),tensor(0.5067),147,76,74,3
173,174,0.7366666666666667,0.6591928251121076,0.98,tensor(0.9800),tensor(0.5067),147,76,74,3
174,175,0.7366666666666667,0.6591928251121076,0.98,tensor(0.9800),tensor(0.5067),147,76,74,3
175,176,0.7333333333333333,0.65625,0.98,tensor(0.9800),tensor(0.5133),147,77,73,3
176,177,0.74,0.6621621621621622,0.98,tensor(0.9800),tensor(0.5000),147,75,75,3
177,178,0.74,0.6607142857142857,0.9866666666666667,tensor(0.9867),tensor(0.5067),148,76,74,2
178,179,0.7266666666666667,0.6504424778761062,0.98,tensor(0.9800),tensor(0.5267),147,79,71,3
179,180,0.73,0.6547085201793722,0.9733333333333334,tensor(0.9733),tensor(0.5133),146,77,73,4
180,181,0.74,0.6607142857142857,0.9866666666666667,tensor(0.9867),tensor(0.5067),148,76,74,2
181,182,0.73,0.6533333333333333,0.98,tensor(0.9800),tensor(0.5200),147,78,72,3
182,183,0.7233333333333334,0.6475770925110133,0.98,tensor(0.9800),tensor(0.5333),147,80,70,3
183,184,0.73,0.6519823788546255,0.9866666666666667,tensor(0.9867),tensor(0.5267),148,79,71,2
184,185,0.7366666666666667,0.6577777777777778,0.9866666666666667,tensor(0.9867),tensor(0.5133),148,77,73,2
185,186,0.7266666666666667,0.6491228070175439,0.9866666666666667,tensor(0.9867),tensor(0.5333),148,80,70,2
186,187,0.7233333333333334,0.6475770925110133,0.98,tensor(0.9800),tensor(0.5333),147,80,70,3
187,188,0.73,0.6519823788546255,0.9866666666666667,tensor(0.9867),tensor(0.5267),148,79,71,2
188,189,0.7333333333333333,0.6548672566371682,0.9866666666666667,tensor(0.9867),tensor(0.5200),148,78,72,2
